id,magnitude,location,timestamp,longitude,latitude
0,1.15,"10 km NW of Belfair, Washington",2023-01-01 08:10:37.050,-122.93,47.51
1,0.29,"23 km ENE of Ashford, Washington",2023-01-02 01:02:43.950,-121.76,46.85
2,0.20,"23 km ENE of Ashford, Washington",2023-01-02 12:05:01.420,-121.75,46.86
3,0.52,"15 km NNE of Ashford, Washington",2023-01-02 12:45:14.220,-121.95,46.89
4,1.56,"0 km WSW of Esperance, Washington",2023-01-02 13:19:27.200,-122.36,47.79
5,0.72,"8 km ESE of Buckley, Washington",2023-01-03 05:51:24.760,-121.93,47.14
6,1.90,"1 km ENE of Enetai, Washington",2023-01-03 05:56:23.780,-122.58,47.59
7,1.36,"6 km SE of Black Diamond, Washington",2023-01-03 06:34:56.990,-121.93,47.28
8,1.47,"2 km NE of Kapowsin, Washington",2023-01-03 20:41:01.760,-122.20,47.01
9,0.97,"4 km NW of Picnic Point, Washington",2023-01-03 22:40:42.400,-122.36,47.91
10,1.12,"2 km WSW of Wauna, Washington",2023-01-04 01:21:43.530,-122.68,47.37
11,1.54,"2 km SW of Gorst, Washington",2023-01-04 06:34:33.520,-122.74,47.51
12,0.95,Washington,2023-01-04 07:06:10.640,-121.95,46.90
13,1.05,"17 km NNE of Ashford, Washington",2023-01-04 07:33:31.720,-121.96,46.90
14,1.56,"5 km W of Burley, Washington",2023-01-04 22:36:04.240,-122.71,47.41
15,1.66,"4 km SSW of Port Ludlow, Washington",2023-01-04 22:38:55.520,-122.71,47.89
16,1.64,"11 km NE of North Bend, Washington",2023-01-06 04:07:53.070,-121.69,47.57
17,1.08,"8 km ESE of Enumclaw, Washington",2023-01-06 19:29:11.650,-121.89,47.17
18,1.19,"6 km WSW of North Bend, Washington",2023-01-07 03:10:07.520,-121.86,47.48
19,1.32,"6 km W of Lake Cavanaugh, Washington",2023-01-09 06:46:22.450,-122.10,48.32
20,1.12,"7 km W of Lake Cavanaugh, Washington",2023-01-09 09:39:41.850,-122.12,48.31
21,1.41,"13 km E of Lake Marcel-Stillwater, Washington",2023-01-09 16:17:53.820,-121.74,47.72
22,0.89,"19 km SE of Carbonado, Washington",2023-01-09 19:10:04.880,-121.86,46.96
23,0.46,"13 km N of Ashford, Washington",2023-01-09 20:03:05.450,-122.00,46.88
24,0.54,"22 km ENE of Ashford, Washington",2023-01-10 18:32:14.510,-121.76,46.85
25,1.71,"4 km NNE of White Center, Washington",2023-01-11 12:36:27.420,-122.34,47.56
26,0.59,"15 km NNE of Ashford, Washington",2023-01-12 08:05:45.840,-121.94,46.88
27,2.19,"7 km WSW of Seattle, Washington",2023-01-13 06:13:04.210,-122.42,47.58
28,1.40,"7 km S of Shelton, Washington",2023-01-13 22:28:39.450,-123.11,47.15
29,0.78,"17 km SSE of Carbonado, Washington",2023-01-15 14:46:31.250,-121.92,46.95
30,0.53,Washington,2023-01-15 18:42:47.400,-121.93,46.94
31,0.37,"6 km ENE of Ashford, Washington",2023-01-16 05:39:18.670,-121.94,46.77
32,1.24,"12 km W of Greenwater, Washington",2023-01-16 18:55:57.770,-121.82,47.16
33,1.32,"3 km SW of Bryant, Washington",2023-01-16 22:21:16.140,-122.19,48.21
34,0.66,Washington,2023-01-17 05:00:39.040,-121.93,46.88
35,0.43,"17 km SSE of Carbonado, Washington",2023-01-17 22:18:53.050,-121.96,46.93
36,0.81,"18 km SSE of Carbonado, Washington",2023-01-18 00:18:37.490,-121.95,46.93
37,0.36,"23 km ENE of Ashford, Washington",2023-01-18 05:23:48.810,-121.76,46.85
38,1.67,"1 km E of Granite Falls, Washington",2023-01-18 23:10:04.210,-121.95,48.09
39,1.42,"3 km SSE of Mount Vernon, Washington",2023-01-19 21:35:27.970,-122.31,48.39
40,1.22,"11 km SSE of Rainier, Washington",2023-01-19 21:52:29.910,-122.65,46.79
41,1.56,"15 km NNE of Ashford, Washington",2023-01-20 08:35:16.440,-121.95,46.88
42,1.22,"21 km W of Skokomish, Washington",2023-01-21 00:17:50.680,-123.44,47.34
43,0.79,"19 km NNE of Ashford, Washington",2023-01-21 01:15:14.580,-121.92,46.91
44,0.75,"9 km N of Ashford, Washington",2023-01-21 08:03:21.940,-122.02,46.85
45,0.12,"22 km ENE of Ashford, Washington",2023-01-21 09:15:49.460,-121.76,46.85
46,0.53,"14 km NNE of Ashford, Washington",2023-01-21 20:18:51.500,-121.95,46.88
47,1.40,"17 km SSE of Friday Harbor, Washington",2023-01-22 08:29:43.990,-122.93,48.39
48,0.40,"5 km SSE of Carbonado, Washington",2023-01-22 11:10:40.580,-122.02,47.04
49,0.94,"4 km S of Quilcene, Washington",2023-01-22 14:20:25.730,-122.87,47.78
50,1.14,"13 km NE of Ashford, Washington",2023-01-23 02:11:53.580,-121.91,46.85
51,-0.05,"22 km ENE of Ashford, Washington",2023-01-24 06:16:20.480,-121.76,46.85
52,1.66,"Puget Sound region, Washington",2023-01-25 02:53:23.520,-122.65,47.63
53,0.43,Washington,2023-01-25 03:19:48.810,-121.77,46.85
54,0.49,"24 km ENE of Ashford, Washington",2023-01-25 05:28:18.500,-121.75,46.87
55,1.31,"Olympic Peninsula, Washington",2023-01-25 10:15:03.140,-123.39,47.68
56,0.82,"14 km SSE of Carbonado, Washington",2023-01-26 05:24:22.780,-121.98,46.96
57,0.58,"4 km S of Quilcene, Washington",2023-01-26 17:01:12.440,-122.88,47.78
58,-0.02,"14 km NE of Ashford, Washington",2023-01-26 23:22:02.120,-121.92,46.87
59,1.49,"3 km NE of Granite Falls, Washington",2023-01-26 23:59:53.440,-121.94,48.11
60,1.50,"Puget Sound region, Washington",2023-01-27 06:44:57.030,-122.33,47.55
61,0.91,Washington,2023-01-27 15:17:20.210,-121.90,46.86
62,0.32,"24 km ENE of Ashford, Washington",2023-01-28 08:17:52.560,-121.76,46.87
63,0.53,"15 km NE of Ashford, Washington",2023-01-28 20:49:26.730,-121.90,46.86
64,0.37,"24 km ENE of Ashford, Washington",2023-01-29 01:42:46.690,-121.76,46.87
65,0.21,"23 km ENE of Ashford, Washington",2023-01-29 02:30:10.430,-121.76,46.85
66,0.29,"14 km S of Carbonado, Washington",2023-01-29 02:43:14.040,-122.03,46.95
67,0.45,"24 km ENE of Ashford, Washington",2023-01-29 04:22:54.810,-121.73,46.85
68,0.54,"12 km NE of Ashford, Washington",2023-01-29 16:25:23.410,-121.92,46.85
69,0.36,"23 km ENE of Ashford, Washington",2023-01-29 19:41:06.370,-121.75,46.84
70,0.27,Washington,2023-01-29 23:14:34.740,-121.75,46.85
71,-0.14,"22 km ENE of Ashford, Washington",2023-01-30 09:39:41.580,-121.77,46.85
72,1.38,"0 km SE of Eatonville, Washington",2023-01-30 21:38:10.510,-122.26,46.87
73,1.51,"6 km WSW of Port Ludlow, Washington",2023-01-31 00:10:54.070,-122.75,47.90
74,0.11,"23 km ENE of Ashford, Washington",2023-01-31 07:09:20.350,-121.76,46.85
75,1.61,"11 km S of Shelton, Washington",2023-01-31 21:59:55.860,-123.12,47.12
76,1.14,"3 km NE of Swede Heaven, Washington",2023-01-31 22:25:38.250,-121.69,48.30
77,1.20,"12 km ESE of Enumclaw, Washington",2023-01-31 22:44:10.680,-121.84,47.16
78,0.43,Washington,2023-02-01 01:18:52.930,-121.76,46.85
79,1.36,"4 km WNW of Burlington, Washington",2023-02-01 04:01:56.640,-122.38,48.50
80,0.94,Washington,2023-02-01 10:40:49.490,-121.94,46.85
81,1.56,"0 km SW of Esperance, Washington",2023-02-01 20:09:47.230,-122.36,47.79
82,1.22,"2 km E of Tracyton, Washington",2023-02-02 06:16:12.520,-122.62,47.61
83,0.24,"22 km ENE of Ashford, Washington",2023-02-02 11:24:59.700,-121.77,46.85
84,1.11,"4 km SW of Swede Heaven, Washington",2023-02-02 19:17:34.010,-121.77,48.26
