cca3,country,continent,pop_2023,pop_2022,pop_2000,area (km²)
IND,India,Asia,1428627663,1417173173,1059633675,3287590
CHN,China,Asia,1425671352,1425887337,1264099069,9706961
USA,United States,North America,339996563,338289857,282398554,9372610
IDN,Indonesia,Asia,277534122,275501339,214072421,1904569
PAK,Pakistan,Asia,240485658,235824862,154369924,881912
NGA,Nigeria,Africa,223804632,218541212,122851984,923768
BRA,Brazil,South America,216422446,215313498,175873720,8515767
BGD,Bangladesh,Asia,172954319,171186372,129193327,147570
RUS,Russia,Europe,144444359,144713314,146844839,17098242
MEX,Mexico,North America,128455567,127504125,97873442,1964375
ETH,Ethiopia,Africa,126527060,123379924,67031867,1104300
JPN,Japan,Asia,123294513,123951692,126803861,377930
PHL,Philippines,Asia,117337368,115559009,77958223,342353
EGY,Egypt,Africa,112716598,110990103,71371371,1002450
COD,DR Congo,Africa,102262808,99010212,48616317,2344858
VNM,Vietnam,Asia,98858950,98186856,79001142,331212
IRN,Iran,Asia,89172767,88550570,65544383,1648195
TUR,Turkey,Asia,85816199,85341241,64113547,783562
DEU,Germany,Europe,83294633,83369843,81551677,357114
THA,Thailand,Asia,71801279,71697030,63066603,513120
GBR,United Kingdom,Europe,67736802,67508936,58850043,242900
TZA,Tanzania,Africa,67438106,65497748,34463704,945087
FRA,France,Europe,64756584,64626628,58665453,551695
ZAF,South Africa,Africa,60414495,59893885,46813266,1221037
ITA,Italy,Europe,58870762,59037474,56966397,301336
KEN,Kenya,Africa,55100586,54027487,30851606,580367
MMR,Myanmar,Asia,54577997,54179306,45538332,676578
COL,Colombia,South America,52085168,51874024,39215135,1141748
KOR,South Korea,Asia,51784059,51815810,46788591,100210
UGA,Uganda,Africa,48582334,47249585,24020697,241550
SDN,Sudan,Africa,48109006,46874204,26298773,1886068
ESP,Spain,Europe,47519628,47558630,40741651,505992
ARG,Argentina,South America,45773884,45510318,37070774,2780400
DZA,Algeria,Africa,45606480,44903225,30774621,2381741
IRQ,Iraq,Asia,45504560,44496122,24628858,438317
AFG,Afghanistan,Asia,42239854,41128771,19542982,652230
POL,Poland,Europe,41026067,39857145,38504431,312679
CAN,Canada,North America,38781291,38454327,30683313,9984670
MAR,Morocco,Africa,37840044,37457971,28554415,446550
SAU,Saudi Arabia,Asia,36947025,36408820,21547390,2149690
UKR,Ukraine,Europe,36744634,39701739,48879755,603500
AGO,Angola,Africa,36684202,35588987,16394062,1246700
UZB,Uzbekistan,Asia,35163944,34627652,24925554,447400
YEM,Yemen,Asia,34449825,33696614,18628700,527968
PER,Peru,South America,34352719,34049588,26654439,1285216
MYS,Malaysia,Asia,34308525,33938221,22945150,330803
GHA,Ghana,Africa,34121985,33475870,19665502,238533
MOZ,Mozambique,Africa,33897354,32969518,17768505,801590
NPL,Nepal,Asia,30896590,30547580,24559500,147181
MDG,Madagascar,Africa,30325732,29611714,16216431,587041
CIV,Ivory Coast,Africa,28873034,28160542,16799670,322463
VEN,Venezuela,South America,28838499,28301696,24427729,916445
CMR,Cameroon,Africa,28647293,27914536,15091594,475442
NER,Niger,Africa,27202843,26207977,11622665,1267000
AUS,Australia,Oceania,26439111,26177413,19017963,7692024
PRK,North Korea,Asia,26160821,26069416,23367059,120538
TWN,Taiwan,Asia,23923276,23893394,22194731,36193
MLI,Mali,Africa,23293698,22593590,11239101,1240192
BFA,Burkina Faso,Africa,23251485,22673762,11882888,272967
SYR,Syria,Asia,23227014,22125249,16307654,185180
LKA,Sri Lanka,Asia,21893579,21832143,18776371,65610
MWI,Malawi,Africa,20931751,20405317,11229387,118484
ZMB,Zambia,Africa,20569737,20017675,9891136,752612
ROU,Romania,Europe,19892812,19659267,21919876,238391
CHL,Chile,South America,19629590,19603733,15351799,756102
KAZ,Kazakhstan,Asia,19606633,19397998,15236253,2724900
TCD,Chad,Africa,18278568,17723315,8259137,1284000
ECU,Ecuador,South America,18190484,18001000,12626507,276841
SOM,Somalia,Africa,18143378,17597511,8721465,637657
GTM,Guatemala,North America,18092026,17843908,11735894,108889
SEN,Senegal,Africa,17763163,17316449,9704287,196722
NLD,Netherlands,Europe,17618299,17564014,15899135,41850
KHM,Cambodia,Asia,16944826,16767842,12118841,181035
ZWE,Zimbabwe,Africa,16665409,16320537,11834676,390757
GIN,Guinea,Africa,14190612,13859341,8336967,245857
RWA,Rwanda,Africa,14094683,13776698,8109989,26338
BEN,Benin,Africa,13712828,13352864,6998023,112622
BDI,Burundi,Africa,13238559,12889576,6307659,27834
TUN,Tunisia,Africa,12458223,12356117,9893316,163610
BOL,Bolivia,South America,12388571,12224110,8592656,1098581
HTI,Haiti,North America,11724763,11584996,8360225,27750
BEL,Belgium,Europe,11686140,11655930,10264343,30528
JOR,Jordan,Asia,11337052,11285869,5056174,89342
DOM,Dominican Republic,North America,11332972,11228821,8540791,48671
CUB,Cuba,North America,11194449,11212191,11105791,109884
SSD,South Sudan,Africa,11088796,10913164,6114440,619745
SWE,Sweden,Europe,10612086,10549347,8871043,450295
HND,Honduras,North America,10593798,10432860,6656725,112492
CZE,Czech Republic,Europe,10495295,10493986,10234710,78865
AZE,Azerbaijan,Asia,10412651,10358074,8190337,86600
GRC,Greece,Europe,10341277,10384971,11038109,131990
PNG,Papua New Guinea,Oceania,10329931,10142619,5508297,462840
PRT,Portugal,Europe,10247605,10270865,10300626,92090
HUN,Hungary,Europe,10156239,9967308,10202055,93028
TJK,Tajikistan,Asia,10143543,9952787,6272998,143100
ARE,United Arab Emirates,Asia,9516871,9441129,3275333,83600
BLR,Belarus,Europe,9498238,9534954,10256483,207600
ISR,Israel,Asia,9174520,9038309,6116958,20770
TGO,Togo,Africa,9053799,8848699,5008035,56785
AUT,Austria,Europe,8958960,8939617,8010428,83871
CHE,Switzerland,Europe,8796669,8740472,7182059,41284
SLE,Sierra Leone,Africa,8791092,8605718,4584067,71740
LAO,Laos,Asia,7633779,7529475,5430853,236800
HKG,Hong Kong,Asia,7491609,7488865,6731195,1104
SRB,Serbia,Europe,7149077,7221365,7935022,88361
NIC,Nicaragua,North America,7046310,6948392,5123222,130373
LBY,Libya,Africa,6888388,6812341,5154790,1759540
PRY,Paraguay,South America,6861524,6780744,5123819,406752
KGZ,Kyrgyzstan,Asia,6735347,6630623,4935182,199951
BGR,Bulgaria,Europe,6687717,6781953,8097691,110879
TKM,Turkmenistan,Asia,6516100,6430770,4569132,488100
SLV,El Salvador,North America,6364943,6336392,5958482,21041
COG,Republic of the Congo,Africa,6106869,5970424,3134030,342000
SGP,Singapore,Asia,6014723,5975689,4053602,710
DNK,Denmark,Europe,5910913,5882261,5340655,43094
SVK,Slovakia,Europe,5795199,5643453,5376690,49037
CAF,Central African Republic,Africa,5742315,5579144,3759170,622984
FIN,Finland,Europe,5545475,5540745,5176209,338424
NOR,Norway,Europe,5474360,5434319,4491202,323802
LBR,Liberia,Africa,5418377,5302681,2895224,111369
PSE,Palestine,Asia,5371230,5250072,3139954,6220
LBN,Lebanon,Asia,5353930,5489739,4320642,10452
NZL,New Zealand,Oceania,5228100,5185288,3855266,270467
CRI,Costa Rica,North America,5212173,5180829,3979193,51100
IRL,Ireland,Europe,5056935,5023109,3768950,70273
MRT,Mauritania,Africa,4862989,4736139,2695003,1030700
OMN,Oman,Asia,4644384,4576298,2344253,309500
PAN,Panama,North America,4468087,4408581,3001731,75417
KWT,Kuwait,Asia,4310108,4268873,1934901,17818
HRV,Croatia,Europe,4008617,4030358,4548434,56594
ERI,Eritrea,Africa,3748901,3684032,2392880,117600
GEO,Georgia,Asia,3728282,3744385,4265172,69700
MNG,Mongolia,Asia,3447157,3398366,2450979,1564110
MDA,Moldova,Europe,3435931,3272996,4251573,33846
URY,Uruguay,South America,3423108,3422794,3292224,181034
PRI,Puerto Rico,North America,3260314,3252407,3827108,8870
BIH,Bosnia and Herzegovina,Europe,3210847,3233526,4179350,51209
ALB,Albania,Europe,2832439,2842321,3182021,28748
JAM,Jamaica,North America,2825544,2827377,2612205,10991
ARM,Armenia,Asia,2777970,2780469,3168523,29743
GMB,Gambia,Africa,2773168,2705992,1437539,10689
LTU,Lithuania,Europe,2718352,2750055,3599637,65300
QAT,Qatar,Asia,2716391,2695122,645937,11586
BWA,Botswana,Africa,2675352,2630296,1726985,582000
NAM,Namibia,Africa,2604172,2567012,1819141,825615
GAB,Gabon,Africa,2436566,2388992,1272935,267668
LSO,Lesotho,Africa,2330318,2305825,1998630,30355
